,precision,recall,f1-score,support
0,1.0,0.6865671641791045,0.8141592920353983,67.0
1,0.9974446337308348,0.9982949701619779,0.9978696207925011,1173.0
2,0.9705128205128205,0.9960526315789474,0.9831168831168832,760.0
accuracy,0.987,0.987,0.987,0.987
macro avg,0.9893191514145517,0.8936382553066765,0.9317152653149274,2000.0
weighted avg,0.9872961494780064,0.987,0.9861092844624031,2000.0
